SquareFeet,Bedrooms,Bathrooms,Garage,Neighborhood,Price
2024,5,2,Yes,C,310070.3710881123
1147,4,2,Yes,B,194355.19287450353
795,3,2,Yes,C,143342.89661598759
721,1,2,Yes,C,141823.63510990798
1803,5,2,No,B,271445.4334495696
859,3,2,No,C,172115.2902945719
2377,2,1,Yes,C,305773.1591466196
459,1,3,No,C,129451.1924397256
2348,4,3,Yes,A,350846.1668027157
1605,1,2,Yes,B,237515.1431887701
1451,2,3,Yes,A,235873.15301051468
1227,5,3,No,B,217404.68592277565
1699,5,3,Yes,B,252047.42910492697
1481,5,2,Yes,C,214118.88412870254
2051,4,2,No,B,283913.1941786428
1557,3,3,No,A,215896.2834403488
1575,3,3,No,A,248635.49025019273
1318,1,2,Yes,A,196971.83015575146
1471,4,1,Yes,B,210966.25133524757
1653,5,3,No,A,262608.74119948625
644,5,1,Yes,B,139013.67806358196
825,2,3,No,A,168007.76253650768
1871,2,1,No,A,261176.26329822504
1585,5,1,Yes,B,233481.6583701156
1408,5,1,Yes,A,220427.18818909675
1509,4,2,No,C,237048.9575383822
1673,3,1,No,B,225229.57786457575
1230,2,1,No,B,192148.07522877015
1110,3,1,No,B,168689.81351920604
1597,4,3,Yes,C,256357.1697955287
1010,5,1,No,B,178648.36337371802
1704,3,3,No,A,242034.57265955766
648,5,1,No,A,141000.26400859177
2014,5,1,Yes,A,278023.2541880656
1736,1,2,Yes,B,253285.20883386943
1628,3,3,No,A,250533.04699285794
1991,3,1,Yes,B,261537.22542434867
2332,5,3,Yes,A,345690.66287200485
2007,4,3,Yes,C,297964.90401510557
579,1,2,No,C,123536.77631420338
860,5,2,No,C,159461.65814304978
1187,2,2,Yes,C,188454.06420519805
1513,2,2,No,B,223094.8691534233
1758,1,2,No,A,248490.32331450254
1137,4,2,Yes,C,203772.56509659655
1593,5,2,Yes,B,256365.82095410736
1122,3,2,No,C,175085.32569161453
1194,1,1,Yes,C,183485.0482116324
796,4,3,No,B,169003.84174751787
1038,3,2,No,B,209579.77276169878
824,2,2,Yes,A,157046.9443909637
1012,2,3,No,A,175973.4680153863
2026,3,1,No,C,275703.6885671691
1025,1,3,Yes,C,178414.31711989234
2816,2,3,Yes,A,342709.60692848987
1746,5,2,Yes,A,267683.0446341784
1592,3,3,No,B,242094.41909321418
1070,3,3,Yes,A,192733.08784839482
1850,2,2,Yes,A,250264.31466109442
1212,1,2,Yes,C,179260.85769787765
1561,5,2,Yes,A,253888.82334075644
2780,1,2,No,C,358084.5665644282
1451,4,3,No,A,240280.98605437236
2074,4,3,Yes,B,280292.02399440366
1148,2,1,No,A,186630.63359261325
1482,2,1,Yes,A,197240.63448663315
2385,2,3,Yes,A,312888.2436517173
1186,4,1,No,C,204255.58448757243
2406,1,3,No,B,323175.9848170449
1853,1,1,Yes,A,251869.6736453347
1218,2,2,Yes,C,208929.02653919783
1816,5,1,No,B,269200.1514740793
1986,1,2,Yes,C,247409.8077495912
1810,4,2,No,C,261304.6915374364
714,3,2,Yes,B,149983.9154226894
1136,3,2,Yes,A,191012.58273230627
1376,3,1,No,C,203428.6482489761
1462,5,3,No,C,231898.43866536405
1810,2,2,No,A,279007.4496945932
1588,4,1,No,A,231912.55174794217
832,5,2,No,B,195716.02053374454
1690,4,1,No,B,234587.09595243947
1805,4,1,No,B,264070.6006875901
1779,2,1,Yes,A,247196.4141638987
2040,3,3,Yes,C,280780.5047293494
1916,2,1,Yes,C,253924.42890179317
1729,5,1,No,B,254748.6993063903
1464,5,3,No,A,233958.83382833874
669,5,3,No,C,160338.59405964572
1714,2,1,Yes,B,214750.97574609384
1603,4,3,No,C,258415.1599026874
1635,4,2,No,C,259771.51674122794
861,1,2,Yes,A,159643.6370749866
959,5,3,No,A,214542.5812793778
2026,4,3,Yes,C,300420.96227599896
1480,1,1,Yes,B,221428.0963877756
1840,4,3,No,A,287383.6283251011
1514,5,1,No,C,205889.86643414365
1514,3,2,No,A,234636.73198749564
1969,5,3,Yes,A,279070.6504968322
1241,2,1,Yes,A,179290.96548429196
1548,4,1,Yes,C,221730.26728198084
1268,4,2,No,B,207672.84199982623
1282,2,3,No,B,215704.59960737696
1345,2,2,No,B,212839.89825006705
1611,3,1,No,A,232974.18617182403
1260,4,1,Yes,C,210226.8344120596
2127,4,3,Yes,A,311534.86321592104
1052,3,1,Yes,B,181626.24189233346
1406,1,3,Yes,B,199354.95213925216
1280,3,2,No,C,199606.67210643276
2223,5,3,No,A,318563.2783394265
1598,4,3,No,B,258134.52883141083
2015,2,1,Yes,C,255214.20342276013
757,5,1,Yes,A,157586.5481022472
1633,4,3,No,A,238643.75543610548
1944,3,1,No,B,276659.1798571928
1541,5,1,Yes,B,238523.47278364724
2032,4,1,No,A,266738.6396404406
1241,1,3,Yes,A,186572.71462195707
2204,1,1,Yes,B,286274.3187158426
2649,2,3,Yes,A,359647.98914563167
1318,4,1,No,B,197832.14162550654
1277,1,2,No,A,204566.04108616078
2226,3,1,Yes,B,289177.6228197217
2289,4,1,No,C,314131.9410269289
1238,3,3,Yes,B,216631.90910365313
1289,3,3,Yes,B,216452.9984148244
1359,1,1,Yes,C,179556.08693719417
827,4,2,Yes,A,173511.85650124113
1040,5,1,No,C,191020.19270996866
997,1,1,Yes,B,165804.29753194502
1116,1,2,Yes,A,182556.74063230978
1482,4,3,No,C,230412.1311166789
1617,4,1,Yes,A,249529.62771019113
2275,3,3,Yes,A,322481.39720816637
1000,4,3,No,C,180245.77223155336
1992,3,2,No,A,291342.95010517753
1393,1,2,No,C,209616.69434635388
1475,2,3,Yes,B,229791.36953145172
1837,5,1,No,A,263936.44663581316
938,1,3,No,B,169020.06603414944
1691,4,1,Yes,B,259808.9918830977
1583,5,1,Yes,A,250630.74984598515
1746,2,2,Yes,C,258718.47083639415
1644,2,1,Yes,A,233245.64352545378
2727,3,1,Yes,B,353591.71723534394
1181,5,3,No,B,205756.86925959427
1234,3,2,No,C,208234.42978498066
1188,1,1,No,A,179265.11968031034
1222,5,1,Yes,B,183601.95012591677
1181,1,2,Yes,B,171238.98341178035
2094,3,3,Yes,B,288770.2121991078
2210,5,2,No,C,314151.5398434871
1214,3,2,No,B,193779.2021166603
1083,5,1,Yes,B,184388.8326261529
1735,3,1,No,A,253132.60921874843
1223,2,3,Yes,A,197749.87880550313
1816,3,1,No,B,266908.0724203441
1601,2,1,No,B,238751.23739820134
742,3,2,No,A,153418.81320571317
2273,5,1,Yes,C,316834.6145165833
2397,5,3,No,C,341872.40454356384
1193,5,2,No,C,205843.34724040597
1306,4,3,Yes,C,230216.34662972146
1642,1,2,No,C,243289.02055390528
1667,5,1,Yes,C,239175.647692096
1829,2,2,Yes,C,258435.4863832074
2505,5,2,Yes,C,340925.0382257617
1411,4,1,Yes,A,226596.19467450705
1100,2,1,Yes,C,172561.41649550662
810,4,3,No,C,166022.3966722357
1134,2,3,Yes,C,196089.99660311153
1483,3,1,Yes,B,232113.59223253574
2397,1,1,Yes,A,289706.2288459007
1241,1,1,Yes,A,175851.93846662872
1611,4,2,No,A,239894.95092029413
1491,1,2,Yes,C,214674.22927918448
2094,4,2,No,C,275744.17197562486
2763,4,1,Yes,B,368281.9528691515
1234,4,3,No,A,213096.93408650887
1255,1,1,Yes,C,184698.9547582003
2022,4,2,Yes,A,302426.3753803542
1840,1,2,No,B,260177.93495123813
2423,4,1,Yes,B,313945.7812266665
1791,5,1,No,B,262746.07845308154
1320,4,2,Yes,A,215582.6286762352
1795,2,2,No,C,267983.5085692928
2054,4,2,Yes,C,287725.75798316405
1910,3,1,Yes,B,248579.4045814179
1753,4,2,No,C,240527.75893194706
2033,2,2,Yes,B,292051.6134740669
2084,2,3,Yes,A,281513.8530223737
2191,1,1,Yes,B,287802.1165563331
1824,5,3,Yes,A,279117.6343071505
1416,4,3,Yes,B,228433.45212121741
1573,1,2,Yes,C,223701.52582996874
2103,5,1,No,C,308133.7788152953
1091,4,2,No,B,178619.36571356875
1684,3,1,No,C,236535.44769244074
1303,4,3,Yes,C,230365.65760683702
1514,2,1,No,C,205568.54991553744
2139,2,2,Yes,A,301072.82807777583
1595,3,2,Yes,C,247422.49715753624
1523,1,2,Yes,A,224017.95685132337
820,5,1,Yes,B,158968.4309572573
1873,4,3,No,C,264184.33844816044
1822,2,3,Yes,C,270270.4589413407
2581,1,1,No,C,347586.44934483885
1346,3,2,Yes,B,215058.92535916858
1609,2,3,No,A,223639.545892681
1624,3,2,No,A,245975.16490126748
2288,4,1,No,C,314402.629714012
1452,5,2,No,B,225021.47568104064
1639,2,3,No,B,238444.88073910604
1803,2,3,No,B,253826.2177125371
1593,4,2,Yes,B,237986.36133136312
1276,1,1,No,B,187878.36885721955
1597,5,2,Yes,A,240090.98891506498
2036,2,1,No,A,258241.62258647775
986,5,2,Yes,A,189343.75385675018
1566,2,3,No,C,235773.379601363
1149,5,1,No,B,192537.58229883184
2097,3,1,Yes,C,282531.8971672151
738,2,1,No,B,125598.24294441556
1220,5,3,No,A,220632.0292299676
1688,1,2,No,C,233643.11799710436
2282,3,3,Yes,A,316594.8946811278
1467,3,1,No,B,222696.49105418968
1222,1,2,Yes,B,202511.51278286177
2440,5,3,No,B,341029.5441698891
775,4,1,No,A,165167.18830054326
400,1,1,Yes,B,98780.8685886991
1720,5,3,No,A,265258.22486635577
1248,1,3,No,C,199890.71827176324
989,1,3,Yes,B,182641.24900678213
1854,2,1,No,B,258709.59077022914
1621,5,3,Yes,B,259450.71879861795
1217,4,1,Yes,C,186422.64658395477
859,2,3,Yes,B,173030.59175766326
1936,1,1,No,A,246985.95365217028
1825,1,1,Yes,A,235341.0260620028
1450,1,2,Yes,B,202615.14910062318
2423,5,3,No,B,337468.31289197964
964,5,3,Yes,C,204517.24298470689
737,2,1,No,C,131046.39455619786
1154,4,1,No,C,209185.75953174088
1477,2,1,No,B,223798.10222453572
1621,3,2,No,C,226453.97936749377
1379,1,2,Yes,C,203072.24817821677
1676,1,1,Yes,A,219197.49733009195
874,1,3,Yes,C,170049.55457735716
2221,2,3,Yes,A,293218.36652329593
1458,2,2,Yes,A,203588.8052294382
2058,1,2,No,C,271542.7422326291
1671,2,1,Yes,A,245793.94073696257
1728,5,3,Yes,B,266874.8377615745
1784,5,1,Yes,B,264384.43863356684
1723,2,2,No,C,250672.3109754704
1821,1,3,No,B,242977.24407258927
2164,2,3,Yes,A,288406.2587284535
1598,2,2,No,B,233864.64187197597
1854,2,1,Yes,C,246826.4501634461
1455,3,1,Yes,C,234544.54550394157
2220,5,3,No,A,305716.7760491911
1161,4,2,No,C,191007.3989676715
2400,4,3,Yes,B,333905.44259479747
1479,3,2,Yes,C,220621.0666221671
784,2,1,No,A,116481.67401049793
1564,3,2,Yes,C,254746.81229413816
1159,3,1,No,B,177156.94613773513
1920,1,2,Yes,A,266608.92722681805
1173,5,3,No,B,200766.08828775847
1276,4,1,Yes,A,195969.6509291701
555,2,3,Yes,C,120270.66997318761
1273,4,3,No,A,210888.0659973692
288,4,1,Yes,A,99357.1818255145
708,5,1,Yes,C,151474.34322655102
1880,4,3,No,B,275274.3115762355
1892,4,3,Yes,C,265784.8017303617
1712,3,3,Yes,A,251961.00171656074
1016,5,3,Yes,C,212070.10666774807
1476,1,1,No,A,222883.90545411812
1498,2,1,No,C,221356.8702891469
920,4,3,No,C,189630.99246740172
2251,2,2,Yes,B,319708.22801135347
1938,1,2,Yes,A,268512.476595885
1389,2,1,Yes,B,212341.89860537552
1513,1,3,Yes,A,211654.16973886458
1604,3,3,No,C,235273.69438761863
479,4,1,Yes,A,124573.09682998798
1376,1,2,Yes,B,198525.57774925753
1159,2,2,Yes,B,179920.4471297683
999,4,2,No,B,175075.4095176775
1359,3,1,Yes,A,193664.29357818872
2398,4,2,Yes,B,315886.1551391795
1820,1,1,Yes,B,247394.355548109
1214,3,1,Yes,B,211363.23926484684
1786,2,3,Yes,C,267569.8218271362
